number,time,duration,screen_x,screen_y,avg_dilation
678,240846,100,756,547,0.075466245
679,241025,239,82,627,0.111033755
680,241284,319,136,617,0.118033755
681,241663,159,818,583,0.064533755
682,241922,279,734,547,0.087966245
683,242221,140,787,539,0.064966245
684,242560,100,867,574,0.102533755
685,242959,139,761,562,0.186533755
686,243159,758,104,621,0.221533755
687,243936,199,89,625,0.192033755
688,244175,140,143,603,0.151033755
689,244594,239,114,612,0.158533755
690,244933,239,769,583,0.212966245
691,245192,339,694,521,0.126033755
692,245611,120,793,582,0.129033755
693,245930,179,297,260,0.239033755
694,246129,139,458,213,0.246533755
695,246289,379,431,226,0.246033755
696,246727,179,22,245,0.186033755
697,246927,179,65,244,0.221533755
698,247146,199,285,245,0.166533755
699,247465,778,591,228,0.110033755
700,248322,279,428,220,0.176533755
701,248621,399,490,263,0.176533755
702,249040,658,437,228,0.176033755
703,250216,179,680,384,0.110033755
704,250476,219,261,361,0.164533755
705,250735,180,112,246,0.128033755
706,250934,359,41,255,0.103033755
707,251532,160,460,235,0.159033755
708,251712,439,403,250,0.198533755
709,252210,279,253,255,0.194533755
710,252529,578,434,246,0.174033755
711,253207,419,67,272,0.115033755
712,253646,518,44,272,0.127033755
713,254324,498,42,269,0.108466245
714,254862,339,325,257,0.163033755
715,255221,199,432,261,0.187533755
716,255620,179,626,431,0.154033755
717,255859,140,256,394,0.206533755
718,256038,259,229,236,0.380533755
719,256317,199,414,245,0.381533755
720,256616,379,29,273,0.372033755
721,257015,100,168,256,0.262533755
722,257135,479,241,260,0.248033755
723,258112,179,66,633,0.059033755
724,258311,239,80,626,0.224466245
725,258610,498,39,606,0.196966245
726,259129,917,65,576,0.212466245
727,260066,1774,41,585,0.146966245
728,261860,718,48,596,0.140466245
729,262598,299,102,611,0.163466245
730,262917,299,15,549,0.106966245
731,263236,339,63,541,0.163533755
732,263594,279,10,554,0.181533755
733,263894,598,80,560,0.136033755
734,264512,159,48,556,0.150533755
735,264731,180,97,200,0.103033755
736,264930,100,37,218,0.086533755
737,265190,219,88,534,0.164533755
738,265429,199,45,551,0.152533755
739,265648,219,102,584,0.141533755
740,265887,179,69,577,0.091033755
741,266087,977,39,531,0.086533755
742,267084,1097,62,597,0.177033755
743,268200,359,8,609,0.051533755
744,268579,179,83,657,0.114466245
745,268778,778,84,647,0.142966245
746,269576,179,81,645,0.055466245
747,269795,758,50,244,0.181533755
748,270593,179,220,250,0.183533755
749,270872,120,73,687,0.127033755
750,271011,259,82,654,0.171033755
751,271370,219,714,585,0.142033755
752,271709,100,771,585,0.191033755
753,271829,140,739,560,0.230533755
754,271988,199,671,535,0.233033755
755,272208,1057,704,525,0.249033755
756,273284,219,709,583,0.167533755
757,273563,299,684,552,0.202033755
758,273902,100,667,530,0.189533755
759,274022,239,667,527,0.207033755
760,274281,159,684,579,0.163033755
761,274460,299,696,573,0.142533755
762,274859,419,664,581,0.153533755
763,275298,239,705,597,0.148533755
764,275577,179,740,595,0.041033755
765,275776,100,712,640,0.060466245
766,275956,140,707,628,0.120033755
767,276115,259,753,622,0.183033755
768,276394,239,718,623,0.153533755
769,276694,299,76,645,0.221533755
770,277371,359,717,618,0.129033755
771,277890,140,738,636,0.083033755
772,278069,259,719,638,0.090033755
773,278448,199,79,673,0.191533755
774,278807,180,65,663,0.191533755
775,279006,160,34,628,0.177533755
776,279186,219,99,661,0.184033755
777,279804,179,76,630,0.070966245
778,281857,179,728,623,0.421466245
779,290191,120,70,609,0.383966245
780,294518,119,73,672,0.158966245
781,294677,120,58,630,0.101966245
782,296053,140,113,696,0.118966245
783,296292,159,85,682,0.217966245
784,297010,199,83,760,0.076533755
785,297349,179,84,745,0.133966245
786,297568,100,147,735,0.109466245
787,297807,100,101,749,0.170966245
788,298086,140,103,743,0.077033755
789,298385,160,148,740,0.109033755
790,298605,120,87,760,0.111033755
791,299123,319,90,682,0.214466245
792,299482,179,83,638,0.143533755
793,299721,140,86,636,0.145533755
794,300280,219,731,636,0.163966245
795,300658,120,736,607,0.113533755
796,300858,100,834,617,0.067533755
797,301575,219,738,646,0.099466245
798,301815,120,757,659,0.194466245
799,301954,140,796,667,0.167466245
800,302572,159,758,670,0.218966245
801,302851,100,734,675,0.172466245
802,303370,120,675,383,0.116466245
803,303888,239,445,243,0.063033755
804,304147,339,587,261,0.100533755
805,304506,319,583,254,0.073533755
806,304865,259,35,266,0.068533755
807,305364,359,559,254,0.133966245
808,305742,179,556,272,0.143466245
809,305942,179,564,268,0.144966245
810,306141,179,556,267,0.212466245
811,306540,299,39,282,0.092966245
812,307158,100,594,275,0.131966245
813,307337,100,463,263,0.126466245
814,307557,179,436,268,0.068966245
815,307776,239,427,224,0.075966245
816,308055,160,99,261,0.080033755
817,308235,678,49,251,0.070466245
818,308952,179,314,243,0.091966245
819,309152,558,261,247,0.099466245
820,309730,877,64,234,0.115033755
821,310647,160,326,232,0.070033755
822,310826,678,245,238,0.150033755
823,311564,160,13,245,0.084533755
824,311744,160,47,246,0.066533755
825,311983,219,65,589,0.073966245
826,312342,159,391,308,0.064033755
827,312521,120,444,270,0.082033755
828,312780,179,423,203,0.154533755
829,313339,359,660,275,0.135033755
830,313817,180,3,606,0.194033755
831,314016,120,56,593,0.217533755
832,314156,339,56,587,0.117033755
833,314754,239,69,574,0.075033755
834,315213,279,11,595,0.093966245
835,315651,120,34,596,0.171466245
836,315791,100,33,599,0.186966245
837,316010,379,36,598,0.271466245
838,316409,399,92,621,0.327466245
839,316828,159,14,614,0.183466245
840,317147,239,21,620,0.169466245
841,317525,160,46,609,0.125466245
842,317705,199,66,567,0.206466245
843,318104,199,68,582,0.194966245
844,318343,179,63,530,0.037966245
845,318542,259,41,565,0.110466245
846,318901,179,8,586,0.088966245
847,320097,279,30,602,0.125966245
848,320416,120,55,609,0.199966245
849,320556,160,96,636,0.201466245
850,320755,219,34,629,0.195966245
851,321154,120,131,661,0.300466245
852,321294,379,107,641,0.253966245
853,321712,419,100,629,0.174466245
854,322191,200,99,633,0.120966245
855,322490,179,40,604,0.094466245
856,322809,299,77,598,0.090466245
857,323307,159,39,602,0.070533755
858,323527,160,35,596,0.025466245
859,324205,160,70,616,0.061533755
860,324384,279,33,619,0.076966245
861,324703,279,36,634,0.068966245
862,325201,299,103,644,0.197966245
863,325600,179,75,621,0.171966245
864,325919,140,137,639,0.127966245
865,326298,120,734,602,0.098466245
866,326477,100,723,611,0.128966245
867,326776,199,663,587,0.193533755
868,327036,199,698,566,0.227033755
869,327275,299,666,567,0.186033755
870,327594,160,704,568,0.157533755
871,328072,279,655,567,0.112533755
872,328391,120,736,592,0.079533755
873,328830,259,734,596,0.116533755
874,329588,180,697,544,0.141033755
875,329807,100,706,553,0.169033755
876,329927,140,695,541,0.124533755
877,330305,538,665,534,0.136533755
878,330903,239,729,576,0.094466245
879,331163,140,727,572,0.107466245
880,331322,159,720,535,0.112033755
881,331561,239,670,553,0.179033755
882,331860,180,731,577,0.083533755
883,332080,100,724,583,0.108966245
884,332200,159,751,578,0.129966245
885,332379,199,710,570,0.100966245
886,332618,159,706,575,0.118033755
887,332977,199,777,561,0.134533755
888,333356,179,361,218,0.140033755
889,333575,120,456,268,0.138033755
890,333715,518,428,240,0.143533755
891,334373,160,452,237,0.104533755
892,334692,100,459,229,0.036033755
893,335250,100,614,248,0.166033755
894,335489,139,196,242,0.167533755
895,335649,100,326,235,0.140533755
896,335788,439,452,244,0.151533755
897,336247,180,554,247,0.131033755
898,336805,239,589,247,0.161966245
899,337064,120,573,244,0.128966245
900,337244,179,322,241,0.090466245
901,337443,139,256,251,0.116966245
902,337662,180,565,230,0.114466245
903,337882,239,446,233,0.154466245
904,338161,518,431,251,0.178966245
905,339955,179,463,211,0.512966245
906,341251,279,418,247,0.283466245
907,341550,419,420,232,0.053033755
908,341989,219,419,193,0.109033755
909,342248,160,422,196,0.117033755
910,342627,1774,421,247,0.242033755
911,345677,140,508,228,0.562466245
912,345877,279,440,244,0.379966245
913,346176,120,444,232,0.107966245
914,346375,299,433,272,0.084533755
915,346694,259,425,248,0.127033755
916,347013,798,425,244,0.263533755
917,348050,957,433,246,0.228033755
918,349027,578,433,240,0.306033755
919,349665,160,68,264,0.280033755
920,349844,219,33,260,0.281533755
921,350123,179,274,273,0.283033755
922,350323,339,237,264,0.261033755
923,351060,299,81,636,0.219033755
924,351519,140,33,581,0.216533755
925,351678,518,23,580,0.169533755
926,352356,140,62,567,0.117533755
927,352615,678,35,545,0.130033755
928,353313,279,44,585,0.054533755
