,time,event,event_key,data1,data2,description
433,938519,LMouseButton,1,1265,198,
434,943015,LMouseButton,1,47,604,
435,943902,LMouseButton,1,38,616,
436,946803,LMouseButton,1,685,584,
437,947531,LMouseButton,1,677,598,
438,952455,LMouseButton,1,64,710,
439,957310,LMouseButton,1,699,630,
440,962962,LMouseButton,1,699,630,
441,978624,LMouseButton,1,695,634,
442,981086,LMouseButton,1,695,634,
443,982143,LMouseButton,1,676,594,
444,984655,LMouseButton,1,676,597,
445,992959,LMouseButton,1,1266,191,
446,1001852,LMouseButton,1,691,663,
