number,time,duration,screen_x,secrren_y
1118,524508,498,670,428
1119,525047,140,513,386
1120,525306,419,479,383
1121,525764,160,542,345
1122,525964,120,543,344
1123,526123,120,472,403
1124,526263,239,468,389
1125,526542,199,308,330
1126,526801,179,416,402
1127,527001,279,355,453
1128,527320,259,486,484
1129,527599,199,543,492
1130,527818,199,504,480
1131,528097,279,558,483
1132,528396,140,478,651
1133,528596,140,519,681
1134,528795,180,572,693
1135,529014,459,390,590
1136,529493,120,510,515
1137,529632,199,473,479
1138,529852,239,552,479
1139,530191,140,389,444
1140,530350,160,431,471
1141,530530,160,449,370
1142,530789,239,502,397
1143,531088,140,532,382
1144,531287,199,463,379
1145,531506,359,422,350
1146,531885,199,518,321
1147,532105,299,519,314
1148,532444,319,650,338
1149,532882,140,740,345
1150,533082,179,635,396
1151,533480,299,566,429
1152,533939,160,498,510
1153,534138,259,524,517
1154,534517,140,705,406
1155,534876,100,591,452
1156,535035,818,525,498
1157,535933,120,566,425
1158,536072,458,448,530
1159,536551,219,492,517
1160,536830,100,408,448
1161,536949,379,410,450
1162,537388,179,427,630
1163,537587,239,387,452
1164,537926,120,139,262
1165,538066,478,46,220
1166,538624,219,394,370
1167,538923,179,448,367
1168,539123,199,445,349
1169,539342,518,412,348
1170,539920,100,465,326
1171,540040,219,501,262
1172,540279,279,531,312
1173,540618,638,552,311
1174,541316,179,677,272
1175,541535,199,601,284
1176,541754,299,629,286
1177,542073,120,677,298
1178,542233,120,681,290
1179,542412,359,633,287
1180,542871,518,721,320
1181,543449,100,540,388
1182,543569,239,577,374
1183,543828,219,647,370
1184,544227,120,375,495
1185,544366,219,396,441
1186,544625,518,403,541
1187,545303,479,391,535
1188,545802,219,443,632
1189,546101,678,415,635
1190,546799,140,416,626
1191,547018,160,423,586
1192,547237,199,409,533
1193,547456,180,398,469
1194,547656,180,397,482
1195,548154,359,375,694
1196,548732,239,494,730
1197,548992,538,518,654
1198,549550,140,566,648
1199,549709,259,504,691
1200,550148,120,548,690
1201,550527,120,360,586
1202,550906,139,671,560
1203,551105,140,619,561
1204,551564,120,611,561
1205,551723,120,626,561
1206,552501,199,588,619
1207,554056,120,880,495
1208,554694,179,731,673
1209,555352,120,743,659
1210,557684,180,744,481
1211,557904,279,741,470
1212,558203,100,735,462
1213,558362,180,811,456
1214,558681,279,833,456
1215,559000,339,746,521
1216,559379,160,784,484
1217,559618,359,736,675
1218,560256,180,763,680
1219,560555,100,774,652
1220,560954,120,756,589
1221,561253,100,755,717
1222,561453,120,715,726
1223,562110,159,710,576
1224,562430,140,585,612
1225,562988,159,637,598
1226,563167,199,529,607
1227,563386,259,548,620
1228,563706,279,544,617
1229,564005,140,551,603
1230,564184,160,646,734
1231,564363,179,636,676
1232,564962,160,711,697
1233,565161,159,622,702
