number,time,duration,screen_x,secrren_y
1215,454217,299,750,624
1216,454636,120,747,625
1217,454775,100,737,611
1218,455094,120,103,594
1219,455294,160,152,622
1220,455473,199,103,605
1221,455732,239,103,662
1222,456211,359,754,619
1223,456669,239,731,628
1224,457068,199,758,620
1225,457367,180,754,528
1226,457566,179,809,590
1227,457766,239,742,595
1228,458065,180,743,594
1229,458264,100,740,575
1230,458384,259,749,595
1231,458822,160,752,585
1232,459002,179,739,582
1233,459221,140,711,594
1234,459381,179,753,596
1235,459959,140,715,597
1236,460278,120,703,590
1237,460617,140,713,602
1238,460856,160,787,644
1239,461115,140,758,687
1240,461514,139,471,210
1241,461733,100,428,187
